,x,y,z
PCC_inferior1_R,5,-20,36
PCC_inferior2_R,5,-30,35
PCC_inferior3_R,5,-40,33
PCC_inferior4_R,5,-48,26
PCC_inferior5_R,5,-53,17
PCC_inferior6_R,8,-51,7
PCC_inferior1_L,-5,-20,36
PCC_inferior2_L,-5,-30,35
PCC_inferior3_L,-5,-40,33
PCC_inferior4_L,-5,-48,26
PCC_inferior5_L,-5,-53,17
PCC_inferior6_L,-8,-51,7
PCC_superior1_R,5,-20,46
PCC_superior2_R,5,-30,45
PCC_superior3_R,5,-40,43
PCC_superior4_R,5,-50,39
PCC_superior5_R,5,-57,31
PCC_superior6_R,5,-62,22
PCC_superior7_R,5,-63,12
PCC_superior1_L,-5,-20,46
PCC_superior2_L,-5,-30,45
PCC_superior3_L,-5,-40,43
PCC_superior4_L,-5,-50,39
PCC_superior5_L,-5,-57,31
PCC_superior6_L,-5,-62,22
PCC_superior7_L,-5,-63,12
ACC_inferior1_R,5,-10,37
ACC_inferior2_R,5,0,36
ACC_inferior3_R,5,10,33
ACC_inferior4_R,5,19,28
ACC_inferior5_R,5,27,21
ACC_inferior6_R,5,34,14
ACC_inferior7_R,5,38,6
ACC_inferior8_R,5,34,-4
ACC_inferior9_R,5,25,-10
ACC_inferior1_L,-5,-10,37
ACC_inferior2_L,-5,0,36
ACC_inferior3_L,-5,10,33
ACC_inferior4_L,-5,19,28
ACC_inferior5_L,-5,27,21
ACC_inferior6_L,-5,34,14
ACC_inferior7_L,-5,38,6
ACC_inferior8_L,-5,34,-4
ACC_inferior9_L,-5,25,-10
ACC_superior1_R,5,-10,47
ACC_superior2_R,5,2,46
ACC_superior3_R,5,14,42
ACC_superior4_R,5,25,36
ACC_superior5_R,5,34,28
ACC_superior6_R,5,41,21
ACC_superior7_R,5,47,11
ACC_superior1_L,-5,-10,47
ACC_superior2_L,-5,2,46
ACC_superior3_L,-5,14,42
ACC_superior4_L,-5,25,36
ACC_superior5_L,-5,34,28
ACC_superior6_L,-5,41,21
ACC_superior7_L,-5,47,11
