,Factor1,Factor2,Factor3
pMCC_i3_R,0.4801680190371615,0.7298800329044641,0.21011505032071318
dPCC_i1_R,0.8482226565516691,0.40696760012472655,0.09164681755475075
dPCC_i2_R,0.8879054680978663,-0.03991064409828041,0.19500971478432425
dPCC_i3_R,0.93677526814929,-0.22253035905967636,0.12763803016941036
vPCC_i1_R,0.9412395653222672,-0.25586225184711303,0.0931370567357114
RSC_R,0.7503517267326341,-0.5006282080383753,0.3341053719261511
pMCC_i3_L,0.4851267811362892,0.7476674667457315,-0.1434936478427238
dPCC_i1_L,0.7954342449477441,0.37923911604248944,0.1084707123424097
dPCC_i2_L,0.8669502648559884,0.019288481401304267,0.049320702029267534
dPCC_i3_L,0.9275132485253533,-0.18997888314324676,0.028436011245416264
vPCC_i1_L,0.8121086010350458,-0.4438047174424791,0.1318793278725376
RSC_L,0.6245282759827926,-0.6668118877191558,0.12665110753965894
pMCC_s3_R,-0.4935655709580618,-0.07263823810693722,0.8085276715066717
dPCC_s1_R,0.2350117399714779,0.22086660625724722,0.7631984165646822
dPCC_s2_R,0.8907718876073826,-0.025500244609799466,0.09895447037131455
dPCC_s3_R,0.879270836517614,-0.4120131331595414,0.009455254395332593
dPCC_s5_R,0.8722129828295698,-0.45142129255094027,0.0649514365790486
vPCC_s1_R,0.912720805754385,-0.3324223333787064,0.1906007917891376
vPCC_s2_R,0.794232064614226,-0.465795674573282,0.1874672399655168
pMCC_s3_L,-0.34686533163029387,0.37742351865707396,0.7557250489283261
dPCC_s1_L,0.12326712423863546,0.2779159807413605,0.8054368183149682
dPCC_s2_L,0.8200679593258642,0.0356967556938768,-0.17020463117451132
dPCC_s3_L,0.8706309632107034,-0.3261194412865472,-0.06240648701337234
dPCC_s5_L,0.9340634754606425,-0.25373670367040024,0.14274667343413505
vPCC_s1_L,0.8451452109977894,-0.37844332961692867,0.17402286956340857
vPCC_s2_L,0.6916298507790157,-0.5405947616835552,0.0387738961713226
pMCC_i2_R,0.21997714968753365,0.7617625872750247,0.2897418345412533
pMCC_i1_R,-0.4178572989891327,0.8446631492659863,0.23769911606230795
aMCC_i3_R,-0.38061489318981473,0.8939597245423399,0.1217642509598063
aMCC_i2_R,-0.03204387240312249,0.9798593722749236,-0.02166666288615425
aMCC_i1_R,0.3111238837825447,0.9246366012910635,-0.14041421673620635
pgACC_i3_R,0.6852185715804961,0.7108247128210519,0.044805720678157086
pgACC_i2_R,0.7583380531675761,0.6211229482500316,0.010144056995974197
pgACC_i1_R,0.7655927187554588,0.5947602113721127,-0.08263496379386064
sgACC_R,0.787101983868898,0.4512295012226992,-0.03983279002546916
pMCC_i2_L,0.2561821243958155,0.8855059581888981,0.2136249874576132
pMCC_i1_L,-0.38163484574680784,0.8174270406685868,0.28504182539747974
aMCC_i3_L,-0.3800096217482257,0.8930899962886031,0.03984793712639462
aMCC_i2_L,-0.09048999204464046,0.968937992579036,-0.12346157622449
aMCC_i1_L,0.217774358727608,0.9527405400700298,-0.16960997828299368
pgACC_i3_L,0.5423519402877482,0.7983659039275619,-0.07411250902215612
pgACC_i2_L,0.5976692177686815,0.730052522799345,0.09341940267649905
pgACC_i1_L,0.795833250090097,0.505431829327498,0.07645076707093433
sgACC_L,0.7367272166865015,0.5362455223656668,0.00496580395656496
pMCC_s2_R,-0.7308837665542117,0.4021819618504589,0.5398484159317563
pMCC_s1_R,-0.9091426094078394,0.3581026989428488,0.1547651373132257
aMCC_s3_R,-0.632747841946201,0.46482458597855114,-0.25723466563687786
aMCC_s2_R,0.10992111245699096,0.7288038885014393,-0.4454074357969937
aMCC_s1_R,0.5477131492038322,0.7613341302269081,-0.23843976265776584
pgACC_s3_R,0.687256833260074,0.6668220761554143,-0.10311119434329162
pgACC_s2_R,0.9127199502718496,0.32555437364155154,-0.07086427480931277
pMCC_s2_L,-0.42940503949265574,0.5807879507528215,0.649204608586228
pMCC_s1_L,-0.8748627516514833,0.39359943751804355,0.2635089104419774
aMCC_s3_L,-0.6492477025113208,0.6505726056967446,-0.19946807985658055
aMCC_s2_L,-0.11120265364665582,0.8214273987623787,-0.35618211479334233
aMCC_s1_L,0.18129654791537933,0.9232272681987687,-0.21932127835364987
pgACC_s3_L,0.4246152543749976,0.8815733392933253,-0.09491514435810099
pgACC_s2_L,0.5598316473660576,0.801552447573197,0.02750141081375823
