,Factor1,Factor2,Factor3
pMCC_i3_R,0.2305613265060719,0.5327248624326216,0.04414833437127583
dPCC_i1_R,0.7194816750875708,0.16562262755127932,0.00839913916791377
dPCC_i2_R,0.7883761202780911,0.0015928595123396046,0.03802878886026349
dPCC_i3_R,0.8775479030161742,0.049519760703228485,0.01629146674552731
vPCC_i1_R,0.8859319193280504,0.0654654919202755,0.008674511337391125
RSC_R,0.5630277138106455,0.25062860268371473,0.11162639954991174
pMCC_i3_L,0.23534799377565704,0.5590066408299795,0.020590426971211634
dPCC_i1_L,0.6327156380355877,0.14382230713668878,0.011765895436069792
dPCC_i2_L,0.7516027617338684,0.00037204551476846065,0.0024325316486597946
dPCC_i3_L,0.8602808261900539,0.03609197604035541,0.0008086067355494403
vPCC_i1_L,0.6595203798750991,0.19696262722419874,0.01739215712011227
RSC_L,0.39003556750203916,0.44463809360358403,0.016040503041022253
pMCC_s3_R,0.24360697283515753,0.005276313635280106,0.6537169955920005
dPCC_s1_R,0.05523051792442154,0.04878205775959388,0.5824718230468382
dPCC_s2_R,0.7934745557516194,0.0006502624751596067,0.00979198720646737
dPCC_s3_R,0.7731172039503846,0.16975482189594202,8.940183568045632e-05
dPCC_s5_R,0.7607554874164555,0.2037811833683616,0.0042186891136821725
vPCC_s1_R,0.8330592692569337,0.11050460772894383,0.03632866183064619
vPCC_s2_R,0.6308045724613761,0.21696561045117885,0.03514396606028866
pMCC_s3_L,0.12031555828699375,0.14244851243548665,0.571120349577721
dPCC_s1_L,0.015194783918063191,0.07723729235143224,0.648728468297339
dPCC_s2_L,0.6725114579128872,0.0012742583670683257,0.02896961647325143
dPCC_s3_L,0.7579982741011972,0.1063538899850497,0.0038945696213502105
dPCC_s5_L,0.8724745761896143,0.0643823147895205,0.020376612776511597
vPCC_s1_L,0.7142704276724979,0.14321935373154732,0.030283959131083112
vPCC_s2_L,0.47835185048860357,0.2922426963596999,0.0015034150243045052
pMCC_i2_R,0.048389946384651585,0.5802822393719396,0.083950330683331
pMCC_i1_R,0.17460472231849344,0.7134558357279338,0.05650086977680255
aMCC_i3_R,0.14486769691789408,0.7991639891038161,0.014826532811802687
aMCC_i2_R,0.001026809758587595,0.9601243894350073,0.000469444280622254
aMCC_i1_R,0.09679807105993438,0.8549528444470892,0.019716152261642333
pgACC_i3_R,0.46952449083881553,0.5052717723571308,0.0020075526054890336
pgACC_i2_R,0.5750766028819895,0.3857937168428114,0.00010290189233757306
pgACC_i1_R,0.5861322110113749,0.3537397090314001,0.006828537241212658
sgACC_R,0.6195295330103548,0.20360806277368593,0.0015866511612131155
pMCC_i2_L,0.06562928085995309,0.7841208019880386,0.0456356352662654
pMCC_i1_L,0.14564515548818982,0.6681869668162035,0.08124884222592733
aMCC_i3_L,0.14440731262122958,0.7976097414707771,0.0015878580932290984
aMCC_i2_L,0.008188438660239094,0.938840833463092,0.015242760803835555
aMCC_i1_L,0.047425671319220895,0.9077145366929321,0.028767544733157586
pgACC_i3_L,0.29414562713388526,0.637388116554073,0.005492663993559172
pgACC_i2_L,0.35720849386822767,0.532976686045688,0.008727184796433878
pgACC_i1_L,0.6333505619489669,0.25546133409734106,0.005844719785734257
sgACC_L,0.5427669918066393,0.28755926025722683,2.4659208935036206e-05
pMCC_s2_R,0.5341910802124714,0.16175033043788398,0.2914363121840265
pMCC_s1_R,0.8265402842408953,0.1282375429901526,0.023952247727581602
aMCC_s3_R,0.4003698314875746,0.2160618957301315,0.06616967320531635
aMCC_s2_R,0.012082650963782453,0.5311551078948183,0.19838778386325306
aMCC_s1_R,0.29998969381077933,0.5796296578483626,0.05685352041629171
pgACC_s3_R,0.4723219548626652,0.4446516812482172,0.010631918398900054
pgACC_s2_R,0.8330577076242476,0.10598565019714296,0.005021745444249801
pMCC_s2_L,0.18438868794168922,0.33731464373966186,0.4214666238095975
pMCC_s1_L,0.7653848342272049,0.15492051721452027,0.06943694588231805
aMCC_s3_L,0.4215225792162285,0.4232447152830519,0.0397875148816712
aMCC_s2_L,0.012366030178058096,0.6747429714375279,0.1268656988986577
aMCC_s1_L,0.03286843828603343,0.8523485887457611,0.04810182313867917
pgACC_s3_L,0.1802981142479439,0.7771715525527844,0.00900888462851915
pgACC_s2_L,0.3134114733925939,0.6424863262105827,0.0007563275967470982
