,eigenvalues,p_value,percent_variance_explained
0,25.559105023918512,0.000999000999000999,50.81389269440476
1,21.22527229850189,0.000999000999000999,34.12664205852965
2,4.669276501736821,0.030969030969030968,6.213474937401805
3,2.388520182925748,1.0,3.4860423714174056
4,0.6626297955042499,1.0,1.2721119997737171
5,0.5204533690239963,1.0,1.0013438753166246
6,0.37420895899498136,1.0,0.8156021576788606
7,0.25127471236520976,1.0,0.5101831812289153
8,0.16951125416305934,1.0,0.4440138788824144
9,0.0953099898553158,1.0,0.31453966751287515
10,0.07705661396400981,1.0,0.27712504239714586
11,0.013544436192634346,1.0,0.15913908407094687
12,0.003090434474185,1.0,0.15062836125747256
13,-0.006557443636810878,1.0,0.09435414309206216
14,-0.01174832107161694,1.0,0.07117778655113045
15,-0.019484977169813344,1.0,0.05391602380967624
16,-0.024513133095825645,1.0,0.0463348340228723
17,-0.025418507433656257,1.0,0.037794813131166845
18,-0.02891447198672925,1.0,0.03220684189607591
19,-0.03213780089316581,1.0,0.02722076837268393
20,-0.0340931907045825,1.0,0.015428661458137816
21,-0.034872666969221755,1.0,0.011850708730423912
22,-0.038497993925077356,1.0,0.007648323743562052
23,-0.03954998750748118,1.0,0.006496601882421144
24,-0.04261245590358084,1.0,0.004552046056346768
25,-0.044344611649604376,1.0,0.002300285354370581
26,-0.04593933460169375,1.0,0.002003981425309075
27,-0.049884969427941406,1.0,0.0011488701876889473
28,-0.05373250776771066,1.0,0.0004565830468113395
29,-0.05450501643397815,1.0,0.00021004906211202502
30,-0.057752713959885016,1.0,0.0001593683045387462
31,-0.06758398751272354,1.0,1.653204086791045e-30
32,-0.06860448160939137,1.0,2.669839712090954e-31
33,-0.06961033726586266,1.0,2.669839712090954e-31
34,-0.07461092314042969,1.0,2.669839712090954e-31
35,-0.08297641999487859,1.0,2.669839712090954e-31
36,-0.0906909708009277,1.0,2.669839712090954e-31
37,-0.09379348269867763,1.0,2.669839712090954e-31
38,-0.10074258037815861,1.0,2.669839712090954e-31
39,-0.1024043452448242,1.0,2.669839712090954e-31
40,-0.1093885791165741,1.0,2.669839712090954e-31
41,-0.11115363763121819,1.0,2.669839712090954e-31
42,-0.11544640221753122,1.0,2.669839712090954e-31
43,-0.12320441242204919,1.0,2.669839712090954e-31
44,-0.12964399975906576,1.0,2.669839712090954e-31
45,-0.13956941406346277,1.0,2.669839712090954e-31
46,-0.1478797860617303,1.0,2.669839712090954e-31
47,-0.15414748056799216,1.0,2.669839712090954e-31
48,-0.1695104003990674,1.0,2.669839712090954e-31
49,-0.17303438284554304,1.0,2.669839712090954e-31
50,-0.1836839329385283,1.0,2.669839712090954e-31
51,-0.18772412775993264,1.0,2.669839712090954e-31
52,-0.2011724799896513,1.0,2.669839712090954e-31
53,-0.21456998034310887,1.0,2.669839712090954e-31
54,-0.21891824868512502,1.0,2.669839712090954e-31
55,-0.2356828484306471,1.0,2.669839712090954e-31
56,-0.25726220865233124,1.0,2.669839712090954e-31
57,-0.28802907830339347,0.8721278721278721,2.669839712090954e-31
