,Factor1,Factor2,Factor3
pMCC_i3_R,0.11288158609215528,0.840816631931061,0.2961750534724287
dPCC_i1_R,0.5608735046901238,0.7564614580712754,0.08179496314603893
dPCC_i2_R,0.8225114952400525,0.3778197953504677,0.09340669724381805
dPCC_i3_R,0.9379105913268144,0.25206131847860785,-0.012163258968767531
vPCC_i1_R,0.9511074180465254,0.22954972007352428,-0.052664294704817406
RSC_R,0.9436252996789222,-0.10389956754803764,0.15510928313117686
pMCC_i3_L,0.04502996033756899,0.9004347590400232,-0.046201828550194377
dPCC_i1_L,0.5311561190828046,0.7046456005635674,0.0982425334346044
dPCC_i2_L,0.7504307649859558,0.4358959587550487,-0.035436125647515984
dPCC_i3_L,0.89678590097691,0.28736211636171094,-0.1018796881380638
vPCC_i1_L,0.9340514441287694,-0.0006324868895748753,-0.037718217093410354
RSC_L,0.8748263788817671,-0.28454963682944456,-0.06651672826809979
pMCC_s3_R,-0.24740431091392068,-0.40036130375680284,0.8252891708109343
dPCC_s1_R,0.23813038014834742,0.21566620101893827,0.7637188033034908
dPCC_s2_R,0.8009237563433372,0.4030305479311166,0.002078314814752071
dPCC_s3_R,0.955250556358567,0.07423065170048146,-0.15794813264732568
dPCC_s5_R,0.977557256799011,0.030177290445962634,-0.11057350821707726
vPCC_s1_R,0.9797561203235646,0.13792952857179527,0.03075595313110926
vPCC_s2_R,0.9388776844994001,-0.034961745022915464,0.01416046986655289
pMCC_s3_L,-0.3400459057376619,0.0664341446790343,0.8448903518871663
dPCC_s1_L,0.12238398814418396,0.20514155411548038,0.827103165746477
dPCC_s2_L,0.6625508592295709,0.4530445474380825,-0.24193455669661462
dPCC_s3_L,0.894697933824244,0.15266259109762556,-0.21084703981224212
dPCC_s5_L,0.9528591949772531,0.22199836572480386,-0.003095790442501943
vPCC_s1_L,0.9397466638969566,0.06701911150024652,0.012585186664755025
vPCC_s2_L,0.8581279745145739,-0.13226782354201327,-0.13497986547475085
pMCC_i2_R,-0.11287772857492887,0.7313535181165651,0.4062058177454015
pMCC_i1_R,-0.7131575610282066,0.49635595415866196,0.4354290846312114
aMCC_i3_R,-0.7248610254324506,0.5708967648264189,0.3278896103161221
aMCC_i2_R,-0.4890949928286654,0.8329438267645597,0.1691487892920223
aMCC_i1_R,-0.1876680117003484,0.9675649934577871,0.008109783482759089
pgACC_i3_R,0.2694476878918747,0.9444551911240475,0.11048145206322228
pgACC_i2_R,0.36836726347047216,0.9069504981085816,0.05214954267307249
pgACC_i1_R,0.3702047161532848,0.8987183865625792,-0.04420618821170467
sgACC_R,0.4635596930626888,0.7802652273706852,-0.03198175837963319
pMCC_i2_L,-0.15304568103774963,0.8649592517955844,0.35186393728708826
pMCC_i1_L,-0.6605369745904872,0.48499819881363665,0.4728092817158895
aMCC_i3_L,-0.7387201780623213,0.5801322506116237,0.24767717397673292
aMCC_i2_L,-0.5529720913847042,0.8068977657896352,0.07355198597243262
aMCC_i1_L,-0.2868732060019078,0.9495155444588262,-0.005634470210867633
pgACC_i3_L,0.08342835176673515,0.9640631599802606,0.025462548416814994
pgACC_i2_L,0.19345527905417467,0.9123813181593821,0.1704340047941439
pgACC_i1_L,0.46680822341914596,0.8175941311163344,0.09103040780107217
sgACC_L,0.38834817675704847,0.8236767516161344,0.03306378274443229
pMCC_s2_R,-0.7230288368240461,-0.0749399762247243,0.6774887629464322
pMCC_s1_R,-0.926294803550738,-0.15485315021975765,0.311012079734127
aMCC_s3_R,-0.8112209680571836,0.12155326145271021,-0.09872560983654383
aMCC_s2_R,-0.32549206076803433,0.7358918913674792,-0.3068282668178196
aMCC_s1_R,0.07569007932796241,0.954153422166759,-0.14260130060495213
pgACC_s3_R,0.265049728381569,0.9249558079485845,-0.042555250402517016
pgACC_s2_R,0.6253773288444875,0.737009276165967,-0.09892232649049505
pMCC_s2_L,-0.5256725738939747,0.2141659751613307,0.7880172813015136
pMCC_s1_L,-0.8935571169031717,-0.12025760858369323,0.42051882684781966
aMCC_s3_L,-0.9017914868044549,0.2670204624459627,-0.005195800526088761
aMCC_s2_L,-0.5440541223989175,0.6968972039829202,-0.1797612291229011
aMCC_s1_L,-0.31364931943832897,0.9120261193635899,-0.056136549457004616
pgACC_s3_L,-0.061098650678597204,0.9806445854164387,0.03288925976552553
pgACC_s2_L,0.11541853919640925,0.9633654697819194,0.12352999490631082
