,Factor1,Factor2,Factor3
pMCC_i3_R,0.012742252478680664,0.7069726085318934,0.08771966229939598
dPCC_i1_R,0.31457908826338227,0.57223393754732,0.006690415996061867
dPCC_i2_R,0.6765251598020269,0.1427477977586693,0.008724811089998286
dPCC_i3_R,0.8796762773230147,0.06353490827317418,0.00014794486874130378
vPCC_i1_R,0.904605320663128,0.05269307398583336,0.0027735279367558587
RSC_R,0.8904287061941357,0.010795120136669237,0.024058889713467587
pMCC_i3_L,0.002027697328003036,0.8107827552874647,0.002134608961381556
dPCC_i1_L,0.2821268228391065,0.4965254223935906,0.009651595375649363
dPCC_i2_L,0.5631463330374069,0.19000528685898313,0.0012557190009065402
dPCC_i3_L,0.8042249521909682,0.0825769859198815,0.01037947085510914
vPCC_i1_L,0.8724521002790396,4.000396654841005e-07,0.0014226639007056331
RSC_L,0.765321193187385,0.0809684958197688,0.004424475139492226
pMCC_s3_R,0.06120889305879193,0.16028917354584696,0.6811022154577996
dPCC_s1_R,0.05670607794959646,0.04651191026194109,0.5832664105193162
dPCC_s2_R,0.6414788634751214,0.16243362256565608,4.319392469217935e-06
dPCC_s3_R,0.9125036254233518,0.005510189651878191,0.02494761260677719
dPCC_s5_R,0.9556181903204074,0.0009106688586599876,0.012226500719432052
vPCC_s1_R,0.9599220553114832,0.01902455485203769,0.0009459286530029895
vPCC_s2_R,0.8814913064509551,0.0012223236150473542,0.00020051890684155243
pMCC_s3_L,0.11563121800894685,0.004413495579234861,0.7138397067120197
dPCC_s1_L,0.014977840554075758,0.042083057224914566,0.6840996467878442
dPCC_s2_L,0.4389736410658427,0.20524936196337695,0.058532329723987434
dPCC_s3_L,0.8004843927893713,0.023305866720640823,0.044456474197585215
dPCC_s5_L,0.9079406454526989,0.049283274384483766,9.583918463886375e-06
vPCC_s1_L,0.8831237923054596,0.004491561306282475,0.00015838692338672773
vPCC_s2_L,0.7363836206444851,0.01749477714454116,0.018219564083581836
pMCC_i2_R,0.012741381608235312,0.534877968461477,0.16500316637021034
pMCC_i1_R,0.5085937068517002,0.24636923322875573,0.18959848774277466
aMCC_i3_R,0.5254235061909838,0.3259231160892715,0.10751159655325843
aMCC_i2_R,0.23921391201007228,0.6937954185451888,0.028611312918956956
aMCC_i1_R,0.035219282615562106,0.9361820165649677,6.576858813723214e-05
pgACC_i2_R,0.07260205651027711,0.8919956080411612,0.012206151249998083
pgACC_i1_R,0.13569444079672424,0.8225592060194044,0.0027195748010106083
sgACC_i2_R,0.13705153186213417,0.8076947383456455,0.0019541870762086566
sgACC_i1_R,0.21488758903237423,0.608813825043827,0.0010228328690532378
pMCC_i2_L,0.023422980484308596,0.7481545072667772,0.12380823036317198
pMCC_i1_L,0.43630909480115393,0.2352232528524718,0.22354861687669533
aMCC_i3_L,0.5457075014764277,0.33655342819970774,0.06134398250910082
aMCC_i2_L,0.3057781338503736,0.651084004436305,0.005409894640488925
aMCC_i1_L,0.08229623632181303,0.9015797691689412,3.174725455715475e-05
pgACC_i2_L,0.006960289878514099,0.9294177764311256,0.0006483413718786478
pgACC_i1_L,0.037424944993928594,0.8324396697262515,0.029047749990170263
sgACC_i2_L,0.2179099174517393,0.6684601632358738,0.008286535144429502
sgACC_i1_L,0.15081430639052376,0.6784433911529072,0.0010932137293710182
pMCC_s2_R,0.5227706988791331,0.005616000036562243,0.45899102391868707
pMCC_s1_R,0.8580220630851003,0.023979498132982828,0.09672851374054696
aMCC_s3_R,0.658079459015634,0.014775195369790927,0.00974674603759748
aMCC_s2_R,0.10594508162302176,0.5415368757804059,0.0941435853184271
aMCC_s1_R,0.005728988108673243,0.9104087530325374,0.02033513093422392
pgACC_s3_R,0.0702513585151435,0.8555432466578187,0.0018109493368209245
pgACC_s2_R,0.39109680343266623,0.5431826731546826,0.0097856266782921
pMCC_s2_L,0.2763316549443163,0.04586706491680372,0.6209712356298288
pMCC_s1_L,0.7984443211683085,0.014461892422268769,0.17683608373346654
aMCC_s3_L,0.8132278856729893,0.07129992736485578,2.699634310690424e-05
aMCC_s2_L,0.2959948880992563,0.4856657129192119,0.03231409949577615
aMCC_s1_L,0.09837589558412692,0.8317916424014091,0.0031513121849387252
pgACC_s3_L,0.0037330451147452467,0.961663802906579,0.0010817034079242164
pgACC_s2_L,0.01332143919023306,0.9280730283681382,0.015259659641553177
