,eigenvalues,p_value,percent_variance_explained
0,33.47862668633964,0.000999000999000999,64.10219922930216
1,13.994018819930965,0.000999000999000999,21.65370235975988
2,5.098114264290302,0.000999000999000999,7.631130977871585
3,2.6906133359577975,1.0,3.728121691760197
4,1.7326717348087277,1.0,2.5762783993139404
5,0.09530304416582713,1.0,0.25998982952610517
6,0.00023294722822897462,1.0,0.04857751246613955
7,-0.001762326884253651,1.0,2.99665152875556e-31
8,-0.0040855007254888,1.0,2.99665152875556e-31
9,-0.0054743897291251176,1.0,2.99665152875556e-31
10,-0.007002302658440596,1.0,2.99665152875556e-31
11,-0.007765501454547297,1.0,2.99665152875556e-31
12,-0.008933993905961501,1.0,2.99665152875556e-31
13,-0.010266800283868947,1.0,2.99665152875556e-31
14,-0.01065949257783061,1.0,2.99665152875556e-31
15,-0.012108468888238133,1.0,2.99665152875556e-31
16,-0.013034461557985988,1.0,2.99665152875556e-31
17,-0.01422537872825208,1.0,2.99665152875556e-31
18,-0.015461178454053481,1.0,2.99665152875556e-31
19,-0.01617781282702952,1.0,2.99665152875556e-31
20,-0.01661642847667766,1.0,2.99665152875556e-31
21,-0.019888604389819042,1.0,2.99665152875556e-31
22,-0.020517236624635782,1.0,2.99665152875556e-31
23,-0.023832843234637135,1.0,2.99665152875556e-31
24,-0.02506936494207862,1.0,2.99665152875556e-31
25,-0.027419222490622785,1.0,2.99665152875556e-31
26,-0.030185981392447547,1.0,2.99665152875556e-31
27,-0.031083008056646322,1.0,2.99665152875556e-31
28,-0.03223359688125693,1.0,2.99665152875556e-31
29,-0.03328046809341856,1.0,2.99665152875556e-31
30,-0.03502166731380246,1.0,2.99665152875556e-31
31,-0.036452981420502406,1.0,2.99665152875556e-31
32,-0.036919406221420425,1.0,2.99665152875556e-31
33,-0.03865964664476873,1.0,2.99665152875556e-31
34,-0.04326166668723108,1.0,2.99665152875556e-31
35,-0.04421814809034241,1.0,2.99665152875556e-31
36,-0.0455847114590725,1.0,2.99665152875556e-31
37,-0.04887331114011084,1.0,2.99665152875556e-31
38,-0.0514406992835722,1.0,2.99665152875556e-31
39,-0.05900587898212367,1.0,2.99665152875556e-31
40,-0.06399452063570871,1.0,2.99665152875556e-31
41,-0.0729933468570736,1.0,2.99665152875556e-31
42,-0.07706736055005914,1.0,2.99665152875556e-31
43,-0.08766611315422596,1.0,2.99665152875556e-31
44,-0.09304474271564572,1.0,2.99665152875556e-31
45,-0.0952415461291049,1.0,2.99665152875556e-31
46,-0.11362658397610281,1.0,2.99665152875556e-31
47,-0.1213678666723228,1.0,2.99665152875556e-31
48,-0.12455821543551338,1.0,2.99665152875556e-31
49,-0.13146618448303393,1.0,2.99665152875556e-31
50,-0.16109581400062684,1.0,2.99665152875556e-31
51,-0.1862324509921633,1.0,2.99665152875556e-31
52,-0.23881239048325026,1.0,2.99665152875556e-31
53,-0.2995092700755699,1.0,2.99665152875556e-31
54,-0.38612323260886805,1.0,2.99665152875556e-31
55,-0.4482633126829312,1.0,2.99665152875556e-31
56,-0.4907842809493925,1.0,2.99665152875556e-31
57,-0.5017610116627463,0.985014985014985,3.899467971307119e-32
