,Factor1,Factor2,Factor3
pMCC_i3_R,0.6111906321109568,-0.27575393476066645,-0.3627625097290049
dPCC_i1_R,0.826032629695111,0.16813360500759905,-0.42665582229656007
dPCC_i2_R,0.9703354403372123,-0.01760776523360322,-0.08965809079116807
dPCC_i3_R,0.8632321613864548,-0.30965594475153085,0.37672859296071753
vPCC_i1_R,0.80537734675443,-0.3912287974839587,0.39965991723188793
RSC_R,-0.12729045596736885,-0.7664875728797633,0.23964599467550177
pMCC_i3_L,0.48934003279179356,0.05728688698856811,-0.7262729086555015
dPCC_i1_L,0.7392620870510777,0.23928771579925096,-0.5096176203510041
dPCC_i2_L,0.9046748679599522,0.09836658832680044,-0.35606547256201987
dPCC_i3_L,0.9869396057088157,-0.11998640754879544,-0.08883985223165258
vPCC_i1_L,0.9346597758462281,-0.2575738293569598,0.22040953739793925
RSC_L,0.6988694018450591,-0.5169320623629996,0.43820612053417574
pMCC_s3_R,-0.8977192741018921,-0.4219142710682089,0.08109350774758091
dPCC_s1_R,0.02547423624110817,0.9815362618732137,0.029801698116140068
dPCC_s2_R,0.9315998348230266,0.20923783882003955,-0.06814415159912042
dPCC_s3_R,0.9771644329212943,-0.04280143155368364,-0.18521988876248072
dPCC_s5_R,0.9336642954352554,-0.25211860678916437,0.19805802479848558
vPCC_s1_R,0.7146388522965703,-0.5558962643335933,0.4265057089050127
vPCC_s2_R,-0.38292572606204744,-0.5748915551212225,0.17374266337232322
pMCC_s3_L,-0.8142649437387546,-0.5492418264436009,0.027991610044024024
dPCC_s1_L,-0.5717669972652636,0.22482899101180695,-0.19524856273248664
dPCC_s2_L,0.9713116367399363,0.1431329691747721,-0.16721761251873554
dPCC_s3_L,0.8940510461653884,-0.07454926941694384,-0.2699990180495361
dPCC_s5_L,0.9650469504399405,-0.17346197309823505,0.03284985660932438
vPCC_s1_L,0.8488801516561227,-0.35124068315037804,0.392946776198812
vPCC_s2_L,-0.2082184549026974,-0.6386180657912229,0.241299598090726
pMCC_i2_R,-0.8350739121777834,-0.08796274243241775,-0.2116604637056332
pMCC_i1_R,-0.8758502040373153,-0.3292691346616709,0.0009986889057544016
aMCC_i3_R,-0.9495115564277944,-0.0588759179486021,0.08590638508618754
aMCC_i2_R,-0.662967871955063,0.6898269227089965,0.2619285428113515
aMCC_i1_R,-0.30075162831661867,0.8957535460113975,0.3047740527473093
pgACC_i2_R,0.13646355068989424,0.8122637167959299,0.5672853788991492
pgACC_i1_R,0.725416374585938,0.2760608284099611,0.6176318585809634
sgACC_i2_R,0.892113192789364,-0.287614056778816,0.19146127857827283
sgACC_i1_R,0.8817090867958117,-0.2992887605174997,0.28015882800618797
pMCC_i2_L,-0.49648875449941376,-0.3807657605165246,-0.3458758460373261
pMCC_i1_L,-0.8681958156084087,-0.3296740612603155,-0.009756151524464421
aMCC_i3_L,-0.9308116587309978,-0.14947365523400774,0.08146156387303591
aMCC_i2_L,-0.7158041517686434,0.6373563192750025,0.23293925060902654
aMCC_i1_L,-0.35331456043721177,0.870989736916438,0.2883378197800344
pgACC_i2_L,0.22381465268285472,0.7821280485329744,0.5506964963499166
pgACC_i1_L,0.7744481263037871,0.19723971053939116,0.5814163397233463
sgACC_i2_L,0.8684968608003775,-0.2697552556581792,0.37065166765542634
sgACC_i1_L,0.8452642890033422,-0.3269278354551453,0.36504568322411884
pMCC_s2_R,-0.8678717631231344,-0.48474117885498863,0.020800523606034273
pMCC_s1_R,-0.9290160208976498,-0.2716628404773411,0.03669645692882236
aMCC_s3_R,-0.9520356241630136,0.03231606437949654,0.23839894144439916
aMCC_s2_R,-0.340468619107202,0.8855057955097402,0.2294415101303697
aMCC_s1_R,-0.06391615659764711,0.9802663734322079,0.053839644662351416
pgACC_s3_R,0.6872260585961255,0.6849738254280414,-0.2061052120908558
pgACC_s2_R,0.9806268690459018,0.12210349697150161,-0.09428001095905615
pMCC_s2_L,-0.8889420920589309,-0.4426465637344505,0.008801363454666856
pMCC_s1_L,-0.9483179743008333,-0.17245987997484388,0.06112302563144642
aMCC_s3_L,-0.9469692615039976,0.22841594582361593,0.1629296072768303
aMCC_s2_L,-0.11652818508264982,0.9884934719276844,0.019027795596805543
aMCC_s1_L,0.02274790227847217,0.9965897569720978,-0.0017569591078339753
pgACC_s3_L,0.6287593449338772,0.658425316148155,-0.4035244958520372
pgACC_s2_L,0.9139311903944017,0.0822251109114583,-0.19004755248916108
