,Factor1,Factor2,Factor3
pMCC_i3_R,0.37355398878019097,0.07604023253598989,0.1315966384648864
dPCC_i1_R,0.6823299053210204,0.028268909132851336,0.18203519069955384
dPCC_i2_R,0.9415508667744117,0.0003100333965216863,0.008038573244317337
dPCC_i3_R,0.7451697644519303,0.09588680411996313,0.141924432754162
vPCC_i1_R,0.6486326706652054,0.1530599719807444,0.1597280494417995
RSC_R,0.016202860180380668,0.5875031993791104,0.05743020276401062
pMCC_i3_L,0.2394536676926736,0.0032817874208409745,0.5274723378469225
dPCC_i1_L,0.5465084333511151,0.0572586109324231,0.2597101189722202
dPCC_i2_L,0.818436616718357,0.009675985699054233,0.12678262075081453
dPCC_i3_L,0.9740497853166725,0.014396737996465635,0.007892519344541866
vPCC_i1_L,0.8735888965849212,0.06634427756960826,0.048580364175973584
RSC_L,0.48841844083527064,0.2672187570988641,0.19202460407361255
pMCC_s3_R,0.8058998950940282,0.17801165213101805,0.006576156998806965
dPCC_s1_R,0.0006489367120677889,0.963413433372042,0.0008881412106055465
dPCC_s2_R,0.8678782522422903,0.04378047319408085,0.004643625397163906
dPCC_s3_R,0.9548503289663947,0.0018319625430446656,0.03430640719318573
dPCC_s5_R,0.871729016570612,0.06356379188930927,0.03922698118707753
vPCC_s1_R,0.5107086892117593,0.30902065670004425,0.18190711972856743
vPCC_s2_R,0.1466321116801462,0.33050030014969756,0.030186513075708424
pMCC_s3_L,0.6630273986018772,0.3016665839151026,0.0007835302328567066
dPCC_s1_L,0.32691749916173596,0.05054807519938717,0.03812200124910177
dPCC_s2_L,0.9434462956664139,0.020487046864786265,0.027961729936465982
dPCC_s3_L,0.7993272731494255,0.005557593570600078,0.0728994697477137
dPCC_s5_L,0.931315616553429,0.03008905611113282,0.0010791130792531726
vPCC_s1_L,0.720597511875722,0.12337001749994427,0.15440716892503925
vPCC_s2_L,0.043354924962066624,0.40783303395492276,0.05822549603874589
pMCC_i2_R,0.6973484387999083,0.007737444056231866,0.044800151896083676
pMCC_i1_R,0.7671135799122069,0.10841816304084556,9.97379530476924e-07
aMCC_i3_R,0.9015721957899325,0.003466373714290527,0.007379906998576346
aMCC_i2_R,0.43952639924462483,0.4758611832941638,0.06860656153927798
aMCC_i1_R,0.09045154193509754,0.8023744151919927,0.09288722322801966
pgACC_i3_R,0.018622300666893334,0.6597723456231386,0.3218127011127513
pgACC_i2_R,0.5262289165174059,0.07620958098239398,0.3814691127341751
pgACC_i1_R,0.7958659487488329,0.082721845656768,0.036657421194827
sgACC_R,0.7774109137383043,0.08957376217210128,0.07848896890980081
pMCC_i2_L,0.24650108334437915,0.14498256438172738,0.11963010087203609
pMCC_i1_L,0.7537639742399501,0.10868498666787027,9.518249256830945e-05
aMCC_i3_L,0.8664103440295515,0.02234237360901501,0.006635986388640709
aMCC_i2_L,0.5123755836892271,0.4062230777197789,0.05426069447429487
aMCC_i1_L,0.12483117861694017,0.7586231218137659,0.0831386983155036
pgACC_i3_L,0.05009299875554689,0.6117242843019987,0.3032666310920737
pgACC_i2_L,0.5997699003354466,0.03890350341366281,0.3380449600972936
pgACC_i1_L,0.7542867972201103,0.07276789795520962,0.13738265873574862
sgACC_L,0.7144717182643255,0.10688180959538657,0.13325835084056373
pMCC_s2_R,0.753201397226458,0.23497401047772407,0.00043266178228518903
pMCC_s1_R,0.8630707670845025,0.07380069889621729,0.0013466299511289148
aMCC_s3_R,0.9063718296754588,0.0010443280169797648,0.056834055281810056
aMCC_s2_R,0.11591888059676499,0.7841205138813377,0.05264340657090454
aMCC_s1_R,0.004085275074214949,0.9609221628819329,0.002898707337368265
pgACC_s3_R,0.47227965561356533,0.46918914152152497,0.042479358451016656
pgACC_s2_R,0.9616290562947682,0.014909263972669503,0.008888720466439747
pMCC_s2_L,0.7902180430341088,0.19593598038591695,7.746399866114529e-05
pMCC_s1_L,0.8993069803820359,0.02974241020093756,0.003736024262342456
aMCC_s3_L,0.8967507822334266,0.05217384430649705,0.026546056927382156
aMCC_s2_L,0.013578817918656293,0.9771193440436479,0.0003620570052738124
aMCC_s1_L,0.0005174670580709194,0.993191143701705,3.086905306600758e-06
pgACC_s3_L,0.39533831384167833,0.43352389694479787,0.16283201875264078
pgACC_s2_L,0.8352702207757282,0.006760968864401619,0.03611807220712043
