,Factor1,Factor2,Factor3
pMCC_i3_R,0.6001153228315651,-0.4116756721184709,0.22710262012940066
dPCC_i1_R,0.91516782136493,-0.02699324769292841,0.23318067773848913
dPCC_i2_R,0.7570591054975074,-0.09311436640105415,0.606704787329303
dPCC_i3_R,0.3059906982773516,-0.20293393259642517,0.92096064676768
vPCC_i1_R,0.22766002237132912,-0.268935400922767,0.9150220524294186
RSC_R,-0.4488425075462378,-0.6316430036180342,0.24638137454664724
pMCC_i3_L,0.8306478516175755,-0.2174010500139495,-0.1815729137739859
dPCC_i1_L,0.9236468450305475,0.015582008372882865,0.10055282162098436
dPCC_i2_L,0.9089862493961172,-0.07210569672194765,0.3513402767649165
dPCC_i3_L,0.7412722384982954,-0.18972461342146832,0.6409829031662863
vPCC_i1_L,0.4707611021876115,-0.21080505212865025,0.8499757367093752
RSC_L,0.09231258210267086,-0.36872527750995704,0.896204139088015
pMCC_s3_R,-0.816218884017098,-0.3258304335824919,-0.46702137654413783
dPCC_s1_R,0.2616854668625324,0.9303388250539181,-0.17590025106562296
dPCC_s2_R,0.775856823664989,0.12900726896560188,0.5456241055525738
dPCC_s3_R,0.815797626535425,-0.1497177508662883,0.5504975261682219
dPCC_s5_R,0.48564565215455757,-0.21326920725756018,0.8325769246298537
vPCC_s1_R,0.10077524929951694,-0.4100433600955754,0.9073837433029761
vPCC_s2_R,-0.5416969739369896,-0.46218370563609584,-0.01641753871770441
pMCC_s3_L,-0.7559582294381009,-0.4674389652981338,-0.41893374394486055
dPCC_s1_L,-0.23177449031747369,0.17146622007324694,-0.5765999450417013
dPCC_s2_L,0.8497873387366901,0.031243502913369022,0.5184403484646833
dPCC_s3_L,0.8006121142952518,-0.20453052490195656,0.4415561609747463
dPCC_s5_L,0.6340441839120797,-0.19733286157364913,0.7221713787836199
vPCC_s1_L,0.2741929867781982,-0.2357517827407672,0.9314579975698885
vPCC_s2_L,-0.47454953264958016,-0.5072129560321044,0.16416824678047467
pMCC_i2_R,-0.4961961439726971,-0.11528126203753927,-0.7002754115930976
pMCC_i1_R,-0.7248856317080916,-0.2672495464273298,-0.5278742664784204
aMCC_i3_R,-0.7599734747415987,0.019051389371346098,-0.578356152171827
aMCC_i2_R,-0.4633458637931161,0.7683889206835167,-0.42294588442813585
aMCC_i1_R,-0.17232809645043468,0.959161974193176,-0.18980125076176194
pgACC_i2_R,-0.04316392710514252,0.9497132000068382,0.31046587659905023
pgACC_i1_R,0.2097096703454559,0.4356673660073409,0.866096651993183
sgACC_i2_R,0.4501570054582929,-0.24687281142754533,0.8072531827221928
sgACC_i1_R,0.38332402424962697,-0.22705231178301608,0.8642821211660379
pMCC_i2_L,-0.24339328129784574,-0.45200612384570377,-0.49755795966218114
pMCC_i1_L,-0.712623251846952,-0.27166463732181456,-0.5300099708083531
aMCC_i3_L,-0.7677602872152479,-0.06839651601016399,-0.5488667980485233
aMCC_i2_L,-0.4973882818427363,0.7117392129089091,-0.46785846767653805
aMCC_i1_L,-0.20672260964948946,0.9327940928506147,-0.23184896322587653
pgACC_i2_L,0.02275823952157731,0.9116219568174353,0.3653920969750825
pgACC_i1_L,0.2472194228141617,0.3469887515122412,0.8917397193990027
sgACC_i2_L,0.3243157172911953,-0.16780354317482224,0.9116461157307376
sgACC_i1_L,0.29572182174667044,-0.22228506930305347,0.9042952122001104
pMCC_s2_R,-0.7731331817628694,-0.40680785913360257,-0.47474258129098146
pMCC_s1_R,-0.7707350010979367,-0.19846625291983103,-0.5520840519942356
aMCC_s3_R,-0.8340089215310107,0.15684311044201169,-0.49404409771578484
aMCC_s2_R,-0.1562249982460393,0.9257010176129145,-0.26712202635209065
aMCC_s1_R,0.1811809391438036,0.9415897939346228,-0.22020052802534335
pgACC_s3_R,0.8126644997461964,0.5400508487304635,0.1785207193125699
pgACC_s2_R,0.8047619947083484,0.03596704040506494,0.5800789124002165
pMCC_s2_L,-0.7696065445039355,-0.37039256641758045,-0.5067016881933559
pMCC_s1_L,-0.7737392693541567,-0.0960891235089024,-0.5699823139781642
aMCC_s3_L,-0.7301923427635084,0.3149126030044915,-0.5857643540757498
aMCC_s2_L,0.16719264804332104,0.9399183205432781,-0.2822417193026999
aMCC_s1_L,0.28370428420793475,0.9338227154940977,-0.20297466052287386
pgACC_s3_L,0.8880898807059233,0.4504889265427477,0.007093686574594172
pgACC_s2_L,0.8062911639194357,-0.03100781020710856,0.47653156929929813
