,Factor1,Factor2,Factor3
pMCC_i3_R,0.3601384006972336,0.16947685901419476,0.051575600069638856
dPCC_i1_R,0.8375321412618325,0.0007286354210117849,0.054373228470581125
dPCC_i2_R,0.5731384892166861,0.008670285230269763,0.36809069896829477
dPCC_i3_R,0.09363030743226122,0.04118218099905043,0.8481685128947434
vPCC_i1_R,0.05182908578611408,0.07232624986948943,0.8372653564321456
RSC_R,0.20145959658039453,0.3989728840196119,0.060703781723495276
pMCC_i3_L,0.6899758533968937,0.047263216547167766,0.03296872301637532
dPCC_i1_L,0.8531234943348842,0.0002427989849325917,0.0101108699359415
dPCC_i2_L,0.8262560015912201,0.005199231499757493,0.12343999007724814
dPCC_i3_L,0.5494845315682737,0.035995428937925594,0.4108590821514807
vPCC_i1_L,0.22161601533289482,0.04443877000296295,0.7224587529946451
RSC_L,0.00852161281446235,0.13595833027479484,0.8031818589184901
pMCC_s3_R,0.6662132666261168,0.10616547144855468,0.21810896614918138
dPCC_s1_R,0.06847928356706155,0.8655303294027048,0.03094089832494919
dPCC_s2_R,0.6019538108275259,0.016642875445963146,0.2977056645600462
dPCC_s3_R,0.6655257674608327,0.02241540492445997,0.30304752631733217
dPCC_s5_R,0.23585169945662554,0.045483754764268164,0.693184335426105
vPCC_s1_R,0.010155650871379788,0.16813555715846973,0.8233452576105212
vPCC_s2_R,0.29343561157249154,0.2136137777555133,0.00026953557754732333
pMCC_s3_L,0.5714728446551883,0.21849918627898993,0.17550548181565798
dPCC_s1_L,0.053719414361924706,0.029400664626207152,0.33246749662209296
dPCC_s2_L,0.7221385210771861,0.0009761564742976986,0.2687803949161823
dPCC_s3_L,0.6409797575563133,0.04183273561666987,0.1949718432947561
dPCC_s5_L,0.4020120271527352,0.03894025825684497,0.5215315003342347
vPCC_s1_L,0.07518179399834918,0.055578903065449894,0.8676140012369064
vPCC_s2_L,0.22519725893793496,0.2572649827668254,0.026951213250974833
pMCC_i2_R,0.24621061329337357,0.013289769376967794,0.49038565208188223
pMCC_i1_R,0.525459179056839,0.0714223200656135,0.2786512412101304
aMCC_i3_R,0.5775596823108193,0.0003629554369786391,0.3344958387550015
aMCC_i2_R,0.2146893894941889,0.5904215334291798,0.17888322115469804
aMCC_i1_R,0.029696972826230315,0.9199916927381507,0.03602451479072923
pgACC_i2_R,0.001863124603138057,0.9019551622672287,0.09638906053241668
pgACC_i1_R,0.043978145836399786,0.18980605380377435,0.7501234105938007
sgACC_i2_R,0.20264132956317754,0.06094618502214036,0.65165770101511
sgACC_i1_R,0.1469373075669286,0.051552752286011944,0.7469835849672658
pMCC_i2_L,0.059240289380932266,0.2043095359940177,0.24756392322319268
pMCC_i1_L,0.5078318990729244,0.07380167517119304,0.28091056915627133
aMCC_i3_L,0.58945585862484,0.004678083402328619,0.3012547620000385
aMCC_i2_L,0.24739510291446928,0.5065727071921934,0.2188915457766382
aMCC_i1_L,0.042734237340295196,0.8701048196570011,0.05375394174891385
pgACC_i2_L,0.0005179374661214833,0.8310545921516499,0.1335113845318481
pgACC_i1_L,0.061117443016567255,0.12040119367602385,0.7951997271538119
sgACC_i2_L,0.10518068448210251,0.02815802910202443,0.8310986403269415
sgACC_i1_L,0.08745139585716953,0.049410652035063285,0.8177498308080428
pMCC_s2_R,0.597734916742778,0.16549263425286503,0.22538051849082413
pMCC_s1_R,0.5940324419174364,0.03938885354803834,0.30479680046637386
aMCC_s3_R,0.6955708811933196,0.024599761293125074,0.24407957048780396
aMCC_s2_R,0.024406250076974983,0.8569223740095854,0.07135417696244702
aMCC_s1_R,0.03282653270903066,0.8865913400418455,0.04848827254264002
pgACC_s3_R,0.6604235891477356,0.291654919214494,0.03186964722387737
pgACC_s2_R,0.6476418681269598,0.001293627995499574,0.336491544611418
pMCC_s2_L,0.592294233343288,0.13719065325740173,0.2567466008179969
pMCC_s1_L,0.5986724569407043,0.0092331196567091,0.3248798382479026
aMCC_s3_L,0.533180857430461,0.09916994753106445,0.34311987850578035
aMCC_s2_L,0.02795338155973782,0.8834464492928964,0.07966038811494405
aMCC_s1_L,0.08048812087793662,0.8720248639727705,0.041198712814375885
pgACC_s3_L,0.7887036362122611,0.20294027293763714,5.0320389218577594e-05
pgACC_s2_L,0.6501054410145582,0.0009614842938400657,0.22708233653885176
