,DefaultMode,SensoriMotor,Visual,Salience,DorsalAttention,FrontoParietal,Language,Cerebellar
PCC_inferior1_R,0.0001285732653323619,9.075759905813781e-05,5.0420888365632117e-05,3.277357743766087e-05,7.563133254844817e-06,0.00010084177673126423,0.0002722727971744134,5.042088836563212e-06
PCC_inferior2_R,0.0019210358467305836,0.000178994153697994,0.00018151519811627562,2.7731488601097664e-05,0.00019664146462596526,0.0050395677921449295,3.781566627422408e-05,0.00013865744300548832
PCC_inferior3_R,0.003000042857755111,1.0084177673126424e-05,6.554715487532174e-05,0.0,1.2605222091408029e-05,0.002800880348710864,1.5126266509689635e-05,6.302611045704014e-05
PCC_inferior4_R,0.0015252318730603715,0.0,0.00015126266509689633,0.0,0.0,2.521044418281606e-06,6.050506603875854e-05,5.042088836563212e-06
PCC_inferior5_R,0.005705123518571274,0.000940349568019039,0.0006226979713155566,0.0,0.00011596804324095387,0.0001764731092797124,5.294193278391372e-05,4.5378799529068906e-05
PCC_inferior6_R,0.009337948525315068,0.009461479701810866,0.026186088372691037,0.0002571465306647238,0.0018630518251101067,0.003113489856577783,0.0016916208046669574,0.0017622100483788423
PCC_inferior1_L,2.521044418281606e-06,1.764731092797124e-05,0.00018151519811627562,2.521044418281606e-06,0.0,0.00033529890763145354,0.00014622057626033312,0.0
PCC_inferior2_L,0.001169764610082665,7.563133254844817e-06,0.00018403624253455721,7.058924371188495e-05,0.0005747981273682061,0.004754689772879108,1.2605222091408029e-05,0.00013109430975064349
PCC_inferior3_L,0.002334487131328767,0.0,0.00028992010810238467,1.0084177673126424e-05,6.302611045704014e-05,0.004381575198973431,0.0006302611045704014,0.0001285732653323619
PCC_inferior4_L,0.0003252147299583271,0.0,8.067342138501139e-05,5.042088836563212e-06,0.0,0.0002596675750830054,0.00011344699882267226,2.521044418281606e-06
PCC_inferior5_L,0.005213519857006361,0.0,0.0013336324972709694,2.2689399764534453e-05,0.0,0.0016916208046669574,0.00011344699882267226,0.00011848908765923547
PCC_inferior6_L,0.004376533110136868,4.0336710692505695e-05,0.0034815623416468975,1.2605222091408029e-05,3.277357743766087e-05,5.546297720219533e-05,1.2605222091408029e-05,1.5126266509689635e-05
PCC_superior1_R,0.0006126137936424302,0.013462377193623774,0.009342990614151631,0.0028790327256775937,0.0033353417653865644,8.067342138501139e-05,0.0027328121494172605,1.2605222091408029e-05
PCC_superior2_R,0.0016916208046669574,0.0011344699882267226,0.0006100927492241486,0.004953852281923355,0.0021630561108856175,0.003388283698170478,0.0007764816808307345,0.00018655728695283883
PCC_superior3_R,0.005122762257948223,7.815237696672977e-05,0.0017143102044314918,0.002268939976453445,0.0019790198683510606,0.005823612606230509,0.0004840405283100683,0.0009453916568556021
PCC_superior4_R,0.004532837864070327,0.0,0.0010210229894040503,0.0005546297720219533,2.521044418281606e-06,0.004071486735524793,0.003562235763031909,0.0006932872150274416
PCC_superior5_R,0.005105114947020251,1.5126266509689635e-05,0.00033529890763145354,2.521044418281606e-06,0.0,0.0009327864347641941,0.001489937251204429,0.00027983593042925825
PCC_superior6_R,0.005208477768169797,0.001215143409611734,0.0021832244662318705,1.764731092797124e-05,0.00018907833137112043,0.00011092595440439065,0.0006050506603875853,0.00013865744300548832
PCC_superior7_R,0.001227748631703142,0.005367303566521538,0.03406939426865762,8.82365546398562e-05,0.001976498823932779,2.521044418281606e-06,0.00018151519811627562,0.0006226979713155566
PCC_superior1_L,0.00020420459788081006,0.014864077890188346,0.015237192464094025,0.001252959075885958,0.004734521417532856,9.579968789470102e-05,0.005183267323986981,6.806819929360335e-05
PCC_superior2_L,0.002082382689500606,0.0034235783200264203,0.0007689185475758897,0.002662222905705376,0.00507234136958259,0.003224415810982174,0.0014848951623678659,3.025253301937927e-05
PCC_superior3_L,0.004341238488280925,0.0,0.0007563133254844817,0.0014243900963291072,0.001073964922187964,0.0046815794847489415,0.0020748195562457616,0.00042101441785302816
PCC_superior4_L,0.004056360469015104,0.0,0.001298337875415027,0.0006806819929360336,5.042088836563212e-06,0.0035370253188490926,0.006373200289415899,0.0008067342138501139
PCC_superior5_L,0.004661411129402689,0.0,0.0003403409964680168,0.00019412042020768364,0.0,0.0017848994481433767,0.0027025596163978813,0.0004487459064541258
PCC_superior6_L,0.001989104046024187,1.0084177673126424e-05,0.0004890826171466315,5.042088836563212e-06,0.0,6.302611045704014e-05,7.563133254844817e-06,5.798402162047693e-05
PCC_superior7_L,0.004253001933641069,0.004101739268544172,0.02549784324650016,0.0,0.00033781995204973516,9.579968789470102e-05,7.815237696672977e-05,6.302611045704014e-05
ACC_inferior1_R,2.2689399764534453e-05,0.0005798402162047693,2.521044418281606e-06,0.0002117677311356549,0.00014874162067861474,9.075759905813781e-05,0.0004487459064541258,0.0
ACC_inferior2_R,0.00012101013207751708,0.003100884634486375,0.0004058881513433385,0.00023697817531847094,0.002410118463877215,8.3194465803293e-05,0.00013109430975064349,0.0
ACC_inferior3_R,5.546297720219533e-05,0.0016084263388636644,0.0001361363985872067,0.0007008503482822864,0.0009252233015093493,1.2605222091408029e-05,0.0001739520648614308,5.042088836563212e-06
ACC_inferior4_R,2.521044418281606e-06,0.0004386617287809994,3.529462185594248e-05,0.001189932965428918,0.0003000042857755111,0.0,0.00019412042020768364,5.042088836563212e-06
ACC_inferior5_R,7.563133254844817e-06,1.2605222091408029e-05,5.0420888365632117e-05,0.0007966500361769874,2.521044418281606e-06,5.0420888365632117e-05,5.042088836563212e-06,0.0
ACC_inferior6_R,0.00016890997602486758,1.5126266509689635e-05,2.2689399764534453e-05,0.000357988307395988,0.0,1.5126266509689635e-05,2.521044418281606e-06,5.042088836563212e-06
ACC_inferior7_R,0.0003932829292519305,0.0,1.2605222091408029e-05,0.0002647096639195686,0.0,0.0,0.0,0.0
ACC_inferior8_R,0.0003932829292519305,1.0084177673126424e-05,5.042088836563212e-06,0.0,0.0,2.2689399764534453e-05,0.00020168355346252847,0.0
ACC_inferior9_R,0.0003479041297228616,2.521044418281606e-06,1.0084177673126424e-05,0.0,0.0,0.0,0.00011344699882267226,0.0
ACC_inferior1_L,5.042088836563212e-06,0.0006605136375897807,0.00027983593042925825,9.075759905813781e-05,3.277357743766087e-05,5.546297720219533e-05,0.001169764610082665,0.0
ACC_inferior2_L,9.327864347641942e-05,0.0027076017052344446,0.00022689399764534452,0.00015126266509689633,0.002089945822755451,6.050506603875854e-05,0.0001285732653323619,5.042088836563212e-06
ACC_inferior3_L,0.00023445713090018932,0.003625261873488949,0.0006050506603875853,0.0013059010086698718,0.003017690168683082,6.806819929360335e-05,0.000249583397409879,0.0
ACC_inferior4_L,0.0,0.0009882494119663895,2.2689399764534453e-05,0.002082382689500606,0.0005243772390025739,1.5126266509689635e-05,0.00041849337343474654,0.0
ACC_inferior5_L,2.521044418281606e-06,6.806819929360335e-05,8.57155102215746e-05,0.0012907747421601822,2.5210444182816058e-05,2.5210444182816058e-05,0.00018655728695283883,2.521044418281606e-06
ACC_inferior6_L,0.00013865744300548832,1.0084177673126424e-05,8.57155102215746e-05,0.0002722727971744134,0.0,5.0420888365632117e-05,5.042088836563212e-06,2.521044418281606e-06
ACC_inferior7_L,0.0002672307083378502,0.0,2.521044418281606e-06,0.00015126266509689633,0.0,2.521044418281606e-06,0.0,0.0
ACC_inferior8_L,0.0011848908765923548,2.521044418281606e-06,0.0,5.042088836563212e-06,0.0,0.0,1.764731092797124e-05,0.0
ACC_inferior9_L,0.00011596804324095387,1.0084177673126424e-05,2.521044418281606e-06,0.0,0.0,0.0,1.0084177673126424e-05,0.0
ACC_superior1_R,7.563133254844816e-05,0.014579199870922526,0.007109345259554128,0.0005848823050413325,0.0019815409127693423,0.0,0.0017622100483788423,3.025253301937927e-05
ACC_superior2_R,2.521044418281606e-06,0.01567333314845674,0.002281545198544853,0.002652138728032249,0.00469418470684035,0.0,0.0006000085715510222,8.067342138501139e-05
ACC_superior3_R,0.0001361363985872067,0.0089497076848997,0.0072858183688338405,0.007464812522531834,0.0016462420051378886,0.00023193608648190773,0.0010689228333514008,0.0006100927492241486
ACC_superior4_R,0.0,0.0007134555703736944,0.00164876304955617,0.007426996856257611,3.025253301937927e-05,0.0015227108286420899,0.0004865615727283499,0.0004386617287809994
ACC_superior5_R,9.075759905813781e-05,1.0084177673126424e-05,0.0005445455943488268,0.0048958682603028785,0.0,0.002377344886439554,0.0001739520648614308,0.0003428620408862984
ACC_superior6_R,0.0018151519811627562,8.3194465803293e-05,0.00027731488601097663,0.002735333193835542,0.0,0.003900055715081644,0.0009277443459276309,0.0006882451261908784
ACC_superior7_R,0.0036025724737244144,0.00018655728695283883,0.0,0.0009706021010384182,0.0,0.0032269368554004555,0.0012907747421601822,0.00041345128459818335
ACC_superior1_L,6.050506603875854e-05,0.015822074769135358,0.006395889689180433,0.001094133277534217,0.0034412256309543916,0.0,0.0024378499524783125,4.0336710692505695e-05
ACC_superior2_L,2.521044418281606e-06,0.014745588802529111,0.001905909580220894,0.0042025810452754365,0.006224458668737285,0.0,0.0007512712366479185,0.0001411784874237699
ACC_superior3_L,0.0,0.007905995295731116,0.0016714524493207045,0.006723625463557042,0.001976498823932779,0.0002722727971744134,0.0015655685837528772,0.00023949921973675253
ACC_superior4_L,3.025253301937927e-05,0.0002294150420636261,3.025253301937927e-05,0.005372345655358102,0.00025462548624644217,0.002243729532270629,0.0011495962547364122,0.0003504251741411432
ACC_superior5_L,0.0003504251741411432,0.0,8.82365546398562e-05,0.005642097408114234,0.00020672564229909168,0.0029445798805529154,0.0009504337456921653,0.0004966457504014763
ACC_superior6_L,0.0017748152704702505,5.294193278391372e-05,0.0,0.003529462185594248,0.0001739520648614308,0.005498397876272182,0.0036479512732534836,0.0006176558824789934
ACC_superior7_L,0.0030983635900680936,0.0,0.0,0.001041191344750303,0.0,0.0023117977315642324,0.003952997647865558,0.00019159937578940204
