,DMN,Sensorimotor,Salience,Visual,Language,DorsalAttention,FPN,Cerebellar
pMCC_i3_R,0.000134384873006295,9.4859910357385e-05,3.4254967629056e-05,5.2699950198547e-05,0.000284579731072154,7.904992529782e-06,0.000105399900397094,5.269995019855e-06
dPCC_i1_R,0.002007868102564643,0.000187084823204842,2.8984972609201e-05,0.000189719820714769,3.952496264891e-05,0.000205529805774334,0.005267360022344779,0.000144924863046004
dPCC_i2_R,0.00313564703681355,1.0539990039709e-05,0.0,6.8509935258111e-05,1.5809985059564e-05,1.3174987549637e-05,0.002927482233529289,6.5874937748184e-05
dPCC_i3_R,0.001594173493506049,0.0,0.0,0.000158099850595641,6.3239940238256e-05,0.0,2.634997509927e-06,5.269995019855e-06
vPCC_i1_R,0.0059629993649656,0.000982854071202903,0.0,0.000650844384952056,5.5334947708474e-05,0.000121209885456658,0.000184449825694915,4.7429955178692e-05
RSC_R,0.009760030776770916,0.009889145654757356,0.00026876974601259,0.027369719135615415,0.001768083329161254,0.001947263159836314,0.003254221924760281,0.00184186325943922
pMCC_i3_L,2.634997509927e-06,1.8444982569491e-05,2.634997509927e-06,0.000189719820714769,0.000152829855575786,0.0,0.000350454668820338,0.0
dPCC_i1_L,0.001222638844606292,7.904992529782e-06,7.3779930277966e-05,0.000192354818224697,1.3174987549637e-05,0.000600779432263436,0.004969605303722988,0.000137019870516222
dPCC_i2_L,0.002440007694192729,0.0,1.0539990039709e-05,0.000303024713641646,0.000658749377481838,6.5874937748184e-05,0.00457962567225374,0.000134384873006295
dPCC_i3_L,0.000339914678780629,0.0,5.269995019855e-06,8.4319920317675e-05,0.000118574887946731,0.0,0.000271404743522517,2.634997509927e-06
vPCC_i1_L,0.005449174850529767,0.0,2.3714977589346e-05,0.00139391368275157,0.000118574887946731,0.0,0.001768083329161254,0.000123844882966586
RSC_L,0.004574355677233885,4.2159960158838e-05,1.3174987549637e-05,0.003638931561209675,1.3174987549637e-05,3.4254967629056e-05,5.7969945218402e-05,1.5809985059564e-05
pMCC_s3_R,0.000640304394912347,0.014070886703012066,0.003009167156337037,0.009765300771790771,0.002856337300761251,0.003486101705633888,8.4319920317675e-05,1.3174987549637e-05
dPCC_s1_R,0.001768083329161254,0.001185748879467309,0.005177770107007248,0.000637669397402419,0.000811579233057625,0.002260827863517669,0.003541436653342363,0.000194989815734624
dPCC_s2_R,0.005354314940172382,8.1684922807748e-05,0.002371497758934618,0.0017917983067506,0.000505919521906052,0.002068473045292972,0.006086844247932185,0.000988124066222757
dPCC_s3_R,0.004737725522849381,0.0,0.000579699452184018,0.001067173991520578,0.00372325148152735,2.634997509927e-06,0.004255520978532676,0.000724624315230022
dPCC_s5_R,0.00533586995760289,1.5809985059564e-05,2.634997509927e-06,0.000350454668820338,0.001557283528367066,0.0,0.000974949078673121,0.000292484723601936
vPCC_s1_R,0.005443904855509911,0.001270068799784984,1.8444982569491e-05,0.002281907843597088,0.000632399402382565,0.000197624813244551,0.000115939890436804,0.000144924863046004
