,stress,vision-shape,episodic memory,object recognition,motor,attention,gaze,learning,social,math,language,reward,errors,switching,audition,emotion,speech,reading,conflict,decision-making,semantic,inhibition,LTM,action,reasoning,fear,gustation,WM,motion,pain,sensory,spatial processing
pMCC_i3_R,-0.699608140671075,-0.009646659454388607,1.4832059710766576,0.21571868245044248,-0.7104533528560497,-0.0932905973545003,-1.462908845686842,-0.1185642737287825,-0.07325616891981118,-0.7898155874995831,-0.37267406917637186,0.3069647984218986,-0.17462129585301575,-0.14532634778446663,-0.5276076871996853,0.11657110798081165,0.2701015750726902,0.06783338062805998,-0.3833482784364158,-0.8683976716199565,0.3177122724105683,0.017620593045764958,0.30778924943424524,-0.39791941632707,-0.5198969974435879,-0.23005939373155038,-0.6116037212502092,0.059491819063281076,-0.4228953732423248,-0.3204549498746753,-0.08523961479065292,0.42849757040712355
dPCC_i1_R,0.2040509462482632,-0.9044409723335418,0.6012740877148324,-0.1328894471629022,0.3763405488897478,-0.25581593709279044,-1.0999173024484863,0.10078003639680937,0.14487715222587566,-0.10078008023530946,-1.0517691494246424,-0.08388351499919716,-0.2304023481333574,0.09564270878567038,-0.9918551724464759,0.20514834943265017,-0.04693542749504276,-0.0020459952316108114,-0.20111784129268365,-0.13164211900316625,-0.6412025574283037,0.30786768189847313,0.4166031109675788,-0.6603311449133366,-0.16016765539258895,0.4451789593083204,0.5224728795781112,-0.3696487541426585,-1.0854818978539653,0.6882035079355034,-0.357381992759406,-0.46367354939905586
dPCC_i2_R,0.2124085683379485,-0.3013009291239893,0.19495537691019837,-0.3734602542934021,-0.23896717364822637,0.06085611552807366,-0.5703510929447919,-0.21397574905653186,0.33647909210927035,0.03529760491299935,0.033675556707213346,0.24078445508539228,0.36127800844793295,0.13385975490007648,-0.45071686606065087,0.11510301434575546,-0.14453889834458683,-0.392815163656115,0.46755411143272013,0.32075964618819564,-0.24521391249338997,0.8587891374166342,0.5051769933286275,-0.3323374646122672,-0.46684919709955697,0.3386176312676553,-0.33292454977187397,-0.10945190104491201,-1.1002756321657043,0.378519602836954,-0.35015695743600783,0.0544955695312529
dPCC_i3_R,-0.09436786063448484,-0.4314550288418652,1.0206552583655326,0.06541144597334603,-0.6456814403215669,-0.122283142337069,-0.6559716673230174,-0.17509920405155624,0.7289390981934286,-0.12094546016511448,0.03662397880251747,-0.19488902569776037,0.061650708091484825,-0.24352795115215126,-0.645784968667948,0.024012197298134533,-0.9714997071461529,-0.756913355623814,-0.6731814587614906,0.2825509774102857,-0.004047592545561647,-0.1809065480914367,0.3624405127273684,-0.7650342409952124,-0.17044833482735627,0.0923450100983107,-0.5696450891245792,0.19667011122587794,-0.961120756972289,-0.11498315924933938,-0.27506001394366913,-0.5541240009937419
vPCC_i1_R,0.454792584317872,-0.5584214237753101,0.6295015152933121,-0.19058518697407031,-0.7151960929422417,-0.21224348661373443,-1.3997837468311967,-0.38180114550151667,0.5969704448927498,-0.30106454574051866,-0.014089224304975646,0.41525362026325857,-0.0878067393987066,-0.24460403519493912,-0.7084478272496286,0.3074742522192247,-0.3400515553452858,-0.34146530411542053,-0.10687329819482659,0.4863971372387499,-0.09373348918400953,0.009156952315508123,-0.15040925018906628,-0.5071085691417787,0.17100492990195287,0.31406559369605797,-0.12077090533010759,-0.026832823847120296,-0.7263303275032409,0.2392922949726055,-0.5296854844506903,-0.4906889750620917
RSC_R,0.039335134433412994,-0.3237486325449834,1.7063042252115745,0.10162888531923807,-0.7007746588978625,-0.1984633002489246,-0.9569837502581238,-0.19483699033756993,0.5878181664464366,-0.13241638037327094,-0.10524012652421637,0.2850723546554442,0.022374855364486947,-0.23293652281120972,-0.1263633225717753,0.04376966691664674,-0.3088759655783441,-0.4725204401875001,-0.5396848200822063,0.3096725202690177,0.18846080901223003,-0.08061574990856124,0.5495596006478013,-1.028850154293634,-0.7825029686942768,0.017377492425953205,0.19724151317662802,-0.006616187276775951,-0.9794573276667277,-0.32538374430402467,-0.3366910346369721,-0.5873881729017756
pMCC_i3_L,0.10371582332268012,-0.5873252703582869,0.12549268619401133,-0.493156168150214,-0.22912669286687723,-0.009176888129664017,-0.08737082043716601,-0.38052009779637946,-0.260072955710853,-0.2669764654704455,-0.629587522636321,0.3044579272651382,0.29014940090029173,0.2562535732530178,-0.24262392684151632,0.03580399058258919,-0.08506493399968032,-0.11440119721544006,0.6672315687736013,0.2650340935175086,-0.10923935949343946,0.35213041503789094,-0.17823203350500408,-0.11750317111153447,-0.0391986377923532,0.876985010563244,0.2907402939399097,0.09054715951110066,-0.6266651122311345,1.1716711615453104,-0.41262578257963745,-0.4327560660441902
dPCC_i1_L,0.6281657583085541,-0.5198446113182231,0.3066166701346399,-0.4198027295206257,-0.49535789786078904,-0.21631450712622952,-0.3581852563404942,-0.2624888867299315,0.3912930602913856,-0.4098155816906585,-0.7907430827603585,0.5971988334299474,0.4688369139301402,0.03364459751181812,-0.9052501582484579,0.4300584152283969,-0.7665884392623589,-1.1290532875554324,-0.03246568859601308,0.45197327662446385,-0.4077871075464677,0.4546252760603066,0.18044299322350235,-0.34250932696654063,-0.5362861166312756,0.6128084011089311,0.6903575544793862,-0.2044296757635851,-0.8129294075626962,0.5569787780040296,-0.5914288066388721,-0.3936884311627064
dPCC_i2_L,-0.4689518742641236,-0.26797358078253636,1.60619098820747,0.0487718748977253,-0.38537289360850413,-0.366755778143425,-0.483481058417278,0.04487795338427935,0.24219280987811503,-0.06759616451864407,-0.4896574009713195,0.3508783160134891,-0.4331869414967404,-0.3391398765306244,-0.22724212168074462,0.067453461568864,0.09966716923642016,-0.4108065339554656,-0.29664690783772807,0.26048646683893184,0.36728382804060006,-0.16864789773418074,0.5442703848531099,-0.19419889165148363,0.1964682098797437,-0.19017128241474882,-0.31611590762661423,-0.04444128308786467,-0.8816087618999427,-0.19870588923623314,0.0793279133887723,0.26816586104667195
dPCC_i3_L,0.12543517479175398,-0.5671986095995968,0.07614732535320966,-0.422333580394584,0.4800685904250131,-0.11293415681117534,-0.17350062906660113,-0.20369151661275225,0.05567010602625678,-0.23478150940187054,-0.7176905032105143,0.06898114496961166,0.03616833637719303,0.38408695783051555,-0.6219058420962598,0.149029341862934,0.15741747800021938,-0.19937984302159317,0.523577620266537,0.10535390630082782,0.016471296424898873,0.59849668761831,-0.06443124975280988,0.3340592320004514,-0.2855810342528372,1.019247382537026,0.035542251691288954,-0.33534629082434897,-0.9962663822124459,1.4227430353571782,-0.1607765720880327,-0.513872015319326
