,subject_codes
1,100307
2,100408
3,100610
4,101006
5,101107
6,101309
7,101410
8,101915
9,102008
10,102109
11,102311
12,102513
13,102614
14,102715
15,102816
16,103010
17,103111
18,103212
19,103414
20,103515
21,103818
22,104012
23,104416
24,104820
25,105014
26,105115
27,105216
28,105620
29,105923
30,106016
31,106319
32,106521
33,106824
34,107018
35,107220
36,107321
37,107422
38,107725
39,108020
40,108121
41,108222
42,108323
43,108525
44,108828
45,109123
46,109325
47,109830
48,110007
49,110411
50,110613
51,111009
52,111211
53,111312
54,111413
55,111514
56,111716
57,112112
58,112314
59,112516
60,112819
61,112920
62,113215
63,113316
64,113417
65,113619
66,113821
67,113922
68,114116
69,114217
70,114318
71,114419
72,114621
73,114823
74,114924
75,115017
76,115219
77,115320
78,115825
79,116221
80,116423
81,116524
82,116726
83,117021
84,117122
85,117324
86,117728
87,117930
88,118023
89,118124
90,118225
91,118528
92,118730
93,118831
94,118932
95,119025
96,119126
97,119732
98,120010
99,120111
100,120212
101,120414
102,120515
103,120717
104,121315
105,121416
106,121618
107,121719
108,121921
109,122317
110,122418
111,122620
112,122822
113,123117
114,123420
115,123521
116,123723
117,123824
118,123925
119,124220
120,124422
121,124624
122,124826
123,125222
124,125424
125,125525
126,126325
127,126426
128,126628
129,127226
130,127327
131,127630
132,127731
133,127832
134,127933
135,128026
136,128127
137,128329
138,128632
139,128935
140,129028
141,129129
142,129331
143,129533
144,129634
145,129937
146,130013
147,130114
148,130316
149,130417
150,130518
151,130619
152,130720
153,130821
154,130922
155,131217
156,131419
157,131722
158,131823
159,131924
160,132017
161,132118
162,133019
163,133625
164,133827
165,133928
166,134021
167,134223
168,134324
169,134425
170,134627
171,134728
172,134829
173,135124
174,135225
175,135528
176,135629
177,135730
178,135932
179,136126
180,136227
181,136631
182,136732
183,136833
184,137027
185,137128
186,137229
187,137431
188,137532
189,137633
190,137936
191,138130
192,138231
193,138332
194,138534
195,138837
196,139233
197,139435
198,139637
199,139839
200,140117
201,140319
202,140824
203,140925
204,141119
205,141422
206,141826
207,142424
208,142828
209,143224
210,143325
211,143426
212,143830
213,144125
214,144226
215,144428
216,144731
217,144832
218,144933
219,145127
220,145531
221,145632
222,145834
223,146129
224,146432
225,146533
226,146634
227,146735
228,146836
229,146937
230,147030
231,147636
232,147737
233,148032
234,148133
235,148335
236,148436
237,148840
238,148941
239,149236
240,149337
241,149539
242,149741
243,149842
244,150524
245,150625
246,150726
247,150928
248,151021
249,151223
250,151324
251,151425
252,151526
253,151627
254,151728
255,151829
256,151930
257,152225
258,152427
259,152831
260,153025
261,153126
262,153227
263,153429
264,153631
265,153732
266,153833
267,153934
268,154229
269,154330
270,154431
271,154532
272,154734
273,154835
274,154936
275,155231
276,155635
277,155938
278,156031
279,156233
280,156334
281,156435
282,156536
283,156637
284,157336
285,157437
286,157942
287,158035
288,158136
289,158338
290,158540
291,158843
292,159138
293,159239
294,159340
295,159441
296,159744
297,159845
298,159946
299,160123
300,160729
301,160830
302,161327
303,161630
304,161731
305,161832
306,162026
307,162228
308,162329
309,162733
310,162935
311,163129
312,163331
313,163432
314,163836
315,164030
316,164131
317,164636
318,164939
319,165032
320,165234
321,165436
322,165638
323,165840
324,165941
325,166438
326,166640
327,167036
328,167238
329,167440
330,167743
331,168139
332,168240
333,168341
334,168947
335,169040
336,169141
337,169343
338,169444
339,169545
340,169747
341,169949
342,170631
343,170934
344,171128
345,171330
346,171431
347,171532
348,171633
349,171734
350,172029
351,172130
352,172332
353,172433
354,172534
355,172635
356,172938
357,173132
358,173334
359,173435
360,173536
361,173637
362,173738
363,173839
364,173940
365,174437
366,174841
367,175035
368,175136
369,175237
370,175338
371,175439
372,175540
373,175742
374,176037
375,176239
376,176441
377,176542
378,176744
379,176845
380,177140
381,177241
382,177342
383,177645
384,177746
385,178142
386,178243
387,178647
388,178748
389,178849
390,178950
391,179245
392,179346
393,179952
394,180129
395,180230
396,180432
397,180533
398,180735
399,180836
400,180937
401,181131
402,181232
403,181636
404,182032
405,182436
406,182739
407,182840
408,183034
409,183337
410,183741
411,185038
412,185139
413,185341
414,185442
415,185846
416,185947
417,186040
418,186141
419,186444
420,186545
421,186848
422,187143
423,187345
424,187547
425,187850
426,188145
427,188347
428,188448
429,188549
430,188751
431,189349
432,189450
433,189652
434,190031
435,191033
436,191235
437,191336
438,191437
439,191841
440,191942
441,192035
442,192136
443,192237
444,192439
445,192540
446,192641
447,192843
448,193239
449,193441
450,193845
451,194140
452,194443
453,194645
454,194746
455,194847
456,195041
457,195445
458,195647
459,195849
460,195950
461,196144
462,196346
463,196750
464,196851
465,196952
466,197348
467,197550
468,197651
469,198047
470,198249
471,198350
472,198451
473,198653
474,198855
475,199150
476,199251
477,199352
478,199453
479,199655
480,199958
481,200008
482,200109
483,200210
484,200311
485,200513
486,200614
487,200917
488,201111
489,201414
490,201515
491,201717
492,201818
493,202113
494,202719
495,202820
496,203418
497,203923
498,204016
499,204218
500,204319
501,204420
502,204521
503,204622
504,205119
505,205220
506,205725
507,205826
508,206222
509,206323
510,206525
511,206727
512,206828
513,206929
514,207123
515,207426
516,208024
517,208125
518,208226
519,208327
520,208428
521,208630
522,209127
523,209228
524,209329
525,209531
526,209834
527,209935
528,210011
529,210112
530,210415
531,210617
532,211114
533,211215
534,211316
535,211417
536,211619
537,211720
538,211821
539,211922
540,212015
541,212116
542,212217
543,212318
544,212419
545,212823
546,213017
547,213421
548,213522
549,214019
550,214221
551,214423
552,214524
553,214625
554,214726
555,217126
556,217429
557,219231
558,220721
559,221218
560,221319
561,223929
562,224022
563,227432
564,227533
565,228434
566,231928
567,233326
568,236130
569,237334
570,238033
571,239136
572,239944
573,245333
574,246133
575,250427
576,250932
577,251833
578,255639
579,255740
580,256540
581,257542
582,257845
583,257946
584,263436
585,268749
586,268850
587,270332
588,274542
589,275645
590,280739
591,280941
592,281135
593,283543
594,285345
595,285446
596,286347
597,286650
598,287248
599,289555
600,290136
601,293748
602,295146
603,297655
604,298051
605,298455
606,299154
607,299760
608,300618
609,300719
610,303119
611,303624
612,304020
613,304727
614,305830
615,307127
616,308129
617,308331
618,309636
619,310621
620,311320
621,314225
622,316633
623,316835
624,317332
625,318637
626,320826
627,321323
628,322224
629,325129
630,329440
631,329844
632,330324
633,333330
634,334635
635,336841
636,339847
637,341834
638,342129
639,346137
640,346945
641,348545
642,349244
643,350330
644,352132
645,352738
646,353740
647,355239
648,356948
649,358144
650,360030
651,361234
652,361941
653,362034
654,365343
655,366042
656,366446
657,368551
658,368753
659,371843
660,376247
661,377451
662,378756
663,378857
664,379657
665,380036
666,381038
667,381543
668,382242
669,385046
670,385450
671,387959
672,389357
673,390645
674,391748
675,392447
676,392750
677,393247
678,393550
679,394956
680,395251
681,395756
682,395958
683,397154
684,397760
685,397861
686,401422
687,406432
688,406836
689,412528
690,413934
691,414229
692,415837
693,419239
694,421226
695,422632
696,424939
697,429040
698,432332
699,433839
700,436239
701,436845
702,441939
703,445543
704,448347
705,449753
706,453441
707,453542
708,456346
709,459453
710,461743
711,463040
712,465852
713,467351
714,468050
715,469961
716,473952
717,475855
718,479762
719,480141
720,481042
721,481951
722,485757
723,486759
724,492754
725,495255
726,497865
727,499566
728,500222
729,506234
730,510225
731,510326
732,512835
733,513130
734,513736
735,516742
736,517239
737,518746
738,519647
739,519950
740,520228
741,521331
742,522434
743,523032
744,524135
745,525541
746,529549
747,529953
748,530635
749,531536
750,531940
751,536647
752,540436
753,541640
754,541943
755,545345
756,547046
757,548250
758,549757
759,550439
760,552241
761,552544
762,553344
763,555348
764,555651
765,555954
766,557857
767,558657
768,558960
769,559053
770,559457
771,561242
772,561444
773,561949
774,562345
775,562446
776,565452
